en,ko
(Why can't we just get along?) Yeah,(왜 우린 그냥 사이좋게 지내지 못할까?) 그래
Digging out of graves is never easy,무덤을 파헤치는 건 결코 쉽지 않아
You took away a year,넌 내 인생에서 1년을 빼앗아 갔어
Take a look in that mirror,그 거울을 한 번 봐
But I take it all back now,하지만 이제 그 모든 걸 취소할게
"(So if it's not me, then I'm probably gonna run it over)","(그러니 내가 아니면, 아마 내가 그냥 덮어버릴 거야)"
Gonna make love to the stark,별빛에 사랑을 나눌 거야
Feelin' less than priority,우선순위에서 밀려난 기분이야
"Maybe I stare too much, maybe not long enough","아마 내가 너무 오래 바라볼지도 몰라, 어쩌면 충분히 오래는 아닐지도"
Never knew loving could hurt this good,사랑이 이렇게 아프고 달콤할 수 있는지 몰랐어
If you'd say you'd rather love then fight,네가 사랑을 택하겠다고 말해준다면 싸움보다
Wish that we could be alone now,지금 우리 둘만 있었으면 좋겠어
You're just making sure I'm never gettin' over you,넌 내가 널 절대 잊지 못하게 하려는 거야
"They said our love is just a game, I don't care what they say","사람들은 우리 사랑을 그냥 게임이라 했지, 난 그들이 뭐라 하든 상관없어"
Not shy of a spark,불꽃을 두려워하진 않아
(Take you anywhere),(너를 어디든 데려가 줄게)
(Every bond you break),(네가 끊는 모든 인연)
"I think that I am in love this Christmas, yeah, yeah","이번 크리스마스에 내가 사랑에 빠졌다고 생각해, 예, 예"
The haze wont put my mind at ease,안개는 내 마음을 편안하게 해주지 않아
Heartache doesn't last forever,가슴 아픔은 영원히 가지 않아
I am here to stay,난 여기에 머물 거야
"Yeah, I just wanna go back","그래, 그냥 돌아가고 싶어"
And the camera flashes make it look like a dream,카메라 플래시는 꿈처럼 보이게 하고
"Warm enough for ya outside baby, yeah","밖이 널 위해 충분히 따뜻하니, 베이비, 그래"
And show her that she is my girl,그리고 그녀가 내 여자라는 걸 보여줄 거야
"You could be a master, don't wait for luck (be a champion)","너는 달인이 될 수 있어, 운을 기다리지 마 (챔피언이 되어라)"
But I'll love them endlessly,하지만 나는 그 모든 걸 끝없이 사랑할 거야
Told me to play it cool,쿨하게 하라더니
You know that I don't play,난 장난치지 않는다는 걸 너도 알아
"But you don't have to call anymore, I won't pick up the phone","더 이상 전화할 필요 없어, 내가 전화 받지 않을 거야"
"Fights, corrugate cathedrals","싸움, 구부러진 성당들"
"So fresh to death it's crazy, feel like I can die","너무 죽도록 새롭고 미친 듯, 죽을 것 같아"
Cause i ain't never gonna go back,난 절대 돌아가지 않을 거야
It's the way I'm feeling I just can't deny,내가 느끼는 방식은 부정할 수가 없어
"Glamophonic, electronic, d-d-disco baby","글래모포닉, 일렉트로닉, 디-디-디스코 베이비"
"I know I should've fought it, at least I'm being honest, yeah","싸웠어야 했어, 적어도 나는 솔직해, 그래"
Don't need no Usher to remind me you got it bad,너에게 병이 있다는 걸 상기시켜줄 어셔도 필요 없어
Little did I know,난 전혀 알지 못했어
Photo album on the counter,카운터 위의 사진첩
"Mary on a, Mary on a cross","십자가의 메리, 십자가의 메리"
And I love it cause the thrill's cheap,그리고 그 스릴이 싸구려라서 좋아했어
"Like it's just a dotted line, and I'm supposed to sign","마치 점선일 뿐이고, 내가 서명해야 할 것처럼"
I can't see you settle for the average,평범한 것에 만족하는 너를 볼 수 없어
I dared you to kiss me and ran when you tried,내가 널 키스하라 도전했을 때 네가 시도하자 난 달아났지
So watch me bring the fire and set the night alight (the night alight),그러니 내가 불을 가져와 밤을 밝혀주는 걸 지켜봐 (밤을 밝혀)
The fire's in their eyes and their words are really clear,그들의 눈에는 불꽃이 있고 그들의 말은 정말 분명해
"So, why don't we go","그럼, 왜 우리는 가지 않지"
And I don't know,그리고 난 모르겠어
I go on too many dates,데이트를 너무 많이 해
And ran for my life,난 목숨 걸고 달렸어
I see nobody by your side,네 곁엔 아무도 없어 보이네
Breaking up ain't lonely for a,헤어지긴 외롭지 않지만
No,아니
You don't mean to cause me pain,너도 날 아프게 하려는 건 아니잖아
"(Drink from me, drink from me, oh-ah)","(나에게서 마셔, 나에게서 마셔, 오-아)"
"Cause, baby, you were born this way","왜냐면, 베이비, 넌 이렇게 태어났으니까"
And my old faded blue jeans,그리고 낡은 푸른 청바지
Today is another day to find you,오늘은 너를 찾을 또 다른 날이야
I've been thinking how much I could do bettеr,난 더 잘할 수 있을지 고민했어
About me and her in the after hours of the morning,"이른 새벽, 나와 그녀에 대한 이야기"
When there's nothing else to lose,잃을 게 더 이상 없을 때
"You want me, I want you, baby","넌 날 원하고, 나도 널 원해, 자기야"
This is how you remind me of what I really am,"이게 네가 날, 내가 진짜 어떤 사람인지 떠올리게 하는 방식이야"
I should be playing in the winter snow,겨울 눈 속에서 놀아야 한다는 걸 알아
"What if, what if we close our eyes?",만약 우리가 눈을 감는다면 어떨까?
"Open up my window, let a little wind blow, you catchin' my drift","창문을 열어줘, 바람 한 줌 불어오게, 내 말 알겠지"
I'll be beautiful for you,난 너를 위해 아름다워질게
"You give love, oh","넌 사랑을 줘, 오"
Pressure flowin' like a river in my head,압박감이 내 머릿속 강물처럼 흘러
When I counted up my demons,내 악마들을 셀 때
"Souffrant d'un cœur brisé, une douleur très profonde","상처받은 마음으로, 아주 깊은 고통을 안고"
"Oh, it's a mystery how you disappear","오, 네가 사라지는 건 신비로운 일 같아"
"Anywhere, anytime","어디서든, 언제든지"
Ressurect King,왕을 부활시켜
"I'm overthinking, think it should be over","나는 과도하게 생각하고 있어, 끝내야 할 것 같아"
Back of the Benzo (of the Benzo),벤츠 뒤좌석에 (벤츠 뒤좌석에)
Why you always wanna act like lovers,왜 항상 연인인 척하려는 거야
But she ain't got the moves,하지만 그녀는 그 몸짓을 가지지 못했어
I know you're thinkin' I'm cold,넌 내가 차갑다고 생각하는 걸 알아
And thirsty too (Thirsty too),그리고 갈증도 느껴 (갈증도 느껴)
"If you don't have to go, don't","가지 않아도 돼, 가지 마"
Cause you know I'll never part,넌 내가 절대 떠나지 않을 걸 알잖아
But the story of us might be ending soon,하지만 우리의 이야기는 곧 끝날지도 몰라
I'm not going to spend my life being a color,내 인생을 한 가지 색으로 살진 않을 거야
I know you more than anyone,난 누구보다 널 잘 알아
Sick intuition that they taught us so we won't freak out,그들이 가르쳐준 병적인 직감 때문에 우린 겁먹지 않아
Like we used to do,우리가 하던 그대로
And I'm thankful God was with me when shit hit the fan,엉망이 됐을 때 하나님이 함께해 주셔서 감사해
Dance with me under the diamonds,다이아몬드 아래에서 날과 춤춰줘
I got money in my hands that I'd really like to blow,"내 손엔 돈이 있어, 펑펑 쓰고 싶어"
"Lucky for you, that's what I like, that's what I like","운 좋게도, 그게 내가 좋아하는 거야"
Just like particles that's falling from heaven all over the stars,마치 하늘에서 별들 위로 떨어지는 입자들처럼
"Next time I'm pissed, I'll aim my fist at the drywall","다음번에 내가 화나면, 주먹을 석고보드에 겨눌 거야"
"Nothing that I wouldn't wanna tell you about, no, no, no","네게 말하고 싶지 않을 건 없어, 아니, 아니, 아니"
"But you pay me no attention, do you?","하지만 넌 내게 관심을 주지 않지, 그렇지?"
Don't look at me like that,그렇게 날 보지 마
To try and apologize for my mistakes,내 실수에 사과하려고
Singing from heartache from the pain,상심과 고통에서 노래해
Trap jumpin' like 23,트랩은 23처럼 튀어
"All for you, yeah, all for you","모두 너를 위해, 그래, 모두 너를 위해"
But when you said hello,"하지만 네가 ""안녕""이라고 했을 때"
Please don't let me fall,제발 날 떨어뜨리지 마
You can't deny how hard I've tried,내가 얼마나 애썼는지 부정할 순 없지
"Oh, I won't see a damn thing","아, 난 아무것도 보지 않을 거야"
I make you an offer that you can't refuse,거절할 수 없는 제안을 해줄게
I close my eyes and all I see is you,눈을 감으면 오직 너만 보여
Love is the answer,사랑이 답이야
Take me back to the house in the backyard tree,뒷마당 나무가 있는 집으로 다시 데려가줘
"Baby, the trust","베이비, 신뢰를 줘"
"I'm on adderall, I be smellin' Hi-Tec when I piss","난 애더럴을 하고, 오줌 쌀 땐 하이텍 냄새가 나"
It doesn't matter tonight,오늘 밤은 상관없어
I don't think it's all about the weather,모든 게 날씨 때문인 것 같진 않아
When all those shadows almost killed your light,그 그림자들이 네 빛을 거의 꺼버렸을 때
"How much I meant to you, meant it sincere back then","그때 내가 너에게 얼마나 큰 의미였는지, 진심이었어"
Can't tell a man to slow down,남자에게 천천히 하라고 말할 수는 없어
I should be over all the butterflies,모든 설렘을 잊어야 할 텐데
"I wanna stay right here all night, baby, all night, alright","오늘 밤 여기서 그냥 있고 싶어, 베이비, 밤새, 좋아"
Every time I walk out the door,내가 문을 나설 때마다
Floor,플로어
I can't believe there's something left inside my chest anymore,내 가슴 속에 아직 무언가 남아있다니 믿을 수 없어
"Baby girl, who else been with you","베이비 걸, 누가 또 너와 함께였니"
Woah-oh-oh,워어-오-오
Keeps getting better,계속 더 좋아지고 있어
Cause girl you earned it,"왜냐하면, 넌 그럴 자격이 있으니까"
"A little atten', yeah (a little attention)","조금의 관심, 그래 (조금의 관심)"
"Honestly, honestly with the strength of our love","솔직히, 우리의 사랑의 힘으로"
"Maybe a little too young, but it was real to me","조금은 너무 어렸을지도 모르지만, 내겐 진짜였어"
I don't wanna lose you (hope it never ends),널 잃고 싶지 않아 (끝나지 않길 바라)
"I have this thing where I get older, but just never wiser",내겐 나이가 들지만 결코 더 현명해지지 않는 문제가 있어
Lie to me,나한테 거짓말해
I hold on to the night,밤을 붙잡고 있어
"I'm afraid of the life that I have made, I have made","내가 만든 삶이 두려워, 내가 만든 삶이"
But I don't seem to see many bullets coming through,하지만 난 많은 총알이 날아오는 걸 보진 못해
Make ah give you all you need,네가 필요로 하는 걸 다 줄게
Understandin,이해하고 있어
"The more I swear I'm happy, the more that I'm feeling alone",행복하다고 맹세할수록 더 외로워진다
"High like the moon, rock with me, baby","달처럼 높이, 나와 함께 춤추자, 베이비"
Learning you were wrong,네가 틀렸음을 배우며
And we can take it slow,우린 천천히 해도 돼
"Hm, if you love like that, blood runs cold","흠, 그렇게 사랑하면 피가 차가워져"
"Oh, 'cause you got inside my head","오, 왜냐면 넌 내 머릿속에 자리 잡았으니까"
Even though I know you're not there,비록 네가 거기 없다는 걸 알지만
Another shot before we kiss the other side tonight,오늘 밤 우리가 다른 쪽에 키스하기 전 또 한 잔
Every time she closed her eyes,그녀가 눈을 감을 때마다
"They recognize, they just recognize","그들은 알아봐, 그저 알아볼 뿐이야"
It's hot to feel the rush,그 전율을 느끼는 건 뜨거워
"Lucky for you, that's what I like, that's what I like (that's what I like, baby)","운 좋게도, 그게 내가 좋아하는 거야, 내가 좋아하는 거야 (내가 좋아하는 거야, 자기야)"
This is the same old story,다 똑같은 옛이야기야
"I don't care when I'm with my baby, yeah",내 애인이랑 있으면 아무 상관 없어
"And I love to fix 'em (and I love to fix 'em, no one's perfect)","그리고 난 고치는 걸 좋아해 (고치는 걸 좋아해, 완벽한 사람은 없어)"
"Baby, why don't you just meet me in the middle? Oh, yeah","베이비, 가운데서 만나지 않을래? 오, 그래"
Where I left my lover,내 연인을 두고 온 곳
Where are you now?,넌 지금 어디 있니?
You can't hurt us anymore,넌 더 이상 우릴 해칠 수 없어
"I ain't seen you before, when she got all them big rims?","너 처음 봐, 그녀가 그렇게 큰 휠을 달았어?"
"Let's go, go","가자, 가자"
"Yes, yes we're gonna make it now (hold on)","그래, 그래 우린 이제 해낼 거야 (버텨)"
Tonight I'm a rock 'n' roll star,오늘 밤 난 록앤롤 스타야
"Cause I … see right through you, boy","왜냐하면 난 … 널 꿰뚫어보거든, 남자야"
Hustling for the good life,좋은 삶을 위해 뛰어다니며
"I'm begging you for mercy, mercy","거지되게 용서를 빌어, 용서해줘"
I'm dancing on my own,난 혼자 춤추고 있어
And you'll be on the walls of the hall of fame,그리고 넌 명예의 전당 벽에 오르게 될 거야
"Don't wait, you can push to start, lose control","기다리지 마, 시동 걸고 통제력을 잃어"
"And I know there's nothing that I wanna change, change","그리고 바꾸고 싶은 건 아무것도 없다는 걸 알아, 바꾸고 싶지 않아"
Sits in a corner all alone,구석에 홀로 앉아
"Said, I had you to myself, but I'm (out of time)","말했지, 널 내 것으로 가질 수 있었는데, 난 (시간이 없어)"
I hope she's wilder than your wildest dreams,그녀가 네가 상상할 수 없는 꿈만큼 대단하길 바래
Tryna scratch my way up to the top,간신히 긁어 올려 정상에 닿으려 해
"The systems in control, it's all ran by the book","통제하는 시스템, 모든 게 규칙대로 굴러가"
No clouds in my stones,내 돌에는 구름이 없어
I'm hopin' one day you will change,언젠가 네가 변하길 바라
Dreaming 'bout being a big star,큰 스타가 되는 꿈을 꾸며
I'm lovestruck and looking out the window,나는 사랑에 빠져 창밖을 바라보고 있어
In the devil's game,악마의 게임 속에서
"I like it, like it, come on, come on, come on","난 좋아해, 좋아해 어서, 어서, 어서"
"You're mistaken, honey, this something that","넌 착각하고 있어, 자기야, 이건 그런 게 아니야"
I always wanted a girl just like you,난 늘 너 같은 여자를 원했어
I want (I can't believe I feel this way),원해 (내가 이런 기분일 줄 믿을 수가 없어)
And I'll scream out the window,창문 밖으로 소리치겠어
I ain't playing no games,장난치는 거 아니야
And my words shoot to kill when I'm mad,그리고 내가 화날 땐 내 말이 비수가 돼
"This is the truth, baby, hee!","이게 진실이야, 베이비, 히!"
So your melody will play on and on,그래서 네 멜로디는 계속 울려 퍼질 거야
"We should be dancing, romancing","우린 춤추고, 로맨스해야 해"
I know that we could work it out somehow,우리가 어떻게든 해결할 수 있다는 것도 알아
To see if reindeer really know how to fly,순록이 정말 날 수 있는지 보려고
Know we didn't end this so good,우린 좋게 끝내지 못한 걸 알아
And my love makes you brand new,내 사랑은 너를 새롭게 만들어
Kick me to the curb,날 길가로 차버려
But I can't see straight anymore,하지만 난 더 이상 똑바로 볼 수 없어
"DJ got the floor to shake, the floor to shake","디제이가 바닥을 흔들게 해, 바닥을 흔들어"
"If you can hit it, sing along and take me by the hand",치면 따라 부르고 내 손을 잡아줘
Lookin' through my room for the money,돈 찾으려고 내 방을 뒤지고 있어
Cause you know it's been a long time coming,오랫동안 기다려온 걸 넌 알잖아
"But she dey gimme small, small, whoa","하지만 그녀는 조금씩만 줘, 워"
But that's all I wanna do right now,하지만 그게 지금 내가 하고 싶은 전부야
"So come on, come on my brothers and sisters","그러니 자, 자여 형제자매들이여"
My best friend told me,내 가장 친한 친구가 말했어
That's when you came in wearing a football helmet,그때 네가 미식축구 헬멧을 쓰고 들어왔지
"Baby, tell me one more beautiful lie","베이비, 한 번만 더 아름다운 거짓말을 해줘"
Though it took some time to survive you,네가 날 살아남게 하는 데 시간이 좀 걸렸지
You always get me feeling better,넌 늘 날 더 좋게 만들어
I want you like a midnight hour wants a view,한밤중이 풍경을 원하듯 널 원해
All I can say is I was enchanted to meet you,내가 할 수 있는 말은 널 만나서 황홀했다는 것뿐이야
"Back, backseat of my car, I'll let you have it","내 차 뒷좌석에서, 널 가지게 할게 (오-오)"
When you're with me it's better than Malibu,너와 함께 있으면 말리부보다 더 좋아
"Me and my stupid pride, sittin' here alone","나랑 내 바보 같은 자존심, 여기 혼자 앉아"
"Just sing along to my stereo (Gym Class Hero, baby)","내 스테레오에 맞춰 함께 불러 (짐 클래스 히어로, 베이비)"
Faster than a cannonball,대포알보다 더 빠르게
"Ooh, gettin' all emotional","오, 감정이 북받쳐 올라"
Why the gods above me,왜 위의 신들이 나를 이러게 하는 걸까
You know that I'm coming tonight,오늘 밤 내가 온다는 거 알지
"It sorta feels like it's Valentine's, Valentine's","왠지 발렌타인 같아, 발렌타인 같아"
You gotta roll with it,넌 그저 흘러가야 해
"You think that it's funny when I'm mad, mad, mad","내가 화났을 때 네가 웃긴다고 생각하잖아, 화나, 화나"
"Baby, oh, ba-baby","자기야, 오, 자기야"
"Oh, your freckles span a constellation","오, 네 주근깨는 별자리를 이루고 있어"
Display your diamonds and pearls in light,네 다이아몬드와 진주를 빛에 드러내
It's like I forgot that staring is rude,바라보는 게 무례하단 걸 잊은 듯해
"Glitter in the sky, glitter in my eyes","하늘에 반짝임, 내 눈 속의 반짝임"
"To touch a little, kiss a little","조금만 만지고, 조금만 키스해"
Maybe they were trying to cover it up,아마 그들이 덮으려 했을 수도 있어
"And after he's been hooked, I'll play the one that's on his heart","그가 빠져든 후, 난 그의 마음 속에 있는 카드를 플레이해"
We can play all night,우린 밤새 놀 수 있어
Giving me everything or do you not just want to? (You wouldn't be the first renegade to need somebody),모든 걸 주는 건지 아니면 그냥 안 주고 싶은 건지 (필요한 사람을 필요로 한 반역자는 네가 처음이 아닐 거야)
You still have to squeeze into your jeans,넌 여전히 청바지에 몸을 구겨 넣어야 해
And you didn't expect to fall for me once you got this dick,그리고 넌 이걸로 날 좋아하게 될 줄 몰랐지
"Baby, I could do better","베이비, 난 더 잘할 수 있어"
"Ooh, the reason I hold on","우, 내가 버티는 이유"
Got to blame it on Jesus,예수님 탓으로 돌려야지
All the things that are on my mind,내 머릿속에 떠오르는 모든 것들
But this is gonna take me down,하지만 이건 날 무너뜨릴 거야
"It's always us, never them","항상 우리야, 그들은 절대 아냐"
"Under sunshine pylons, we'll meet",햇살 아래 전봇대에서 우린 만나
"I like the groove of your walk, your talk, your dress","네 걸음, 네 말투, 네 옷차림의 리듬이 좋아"
"Say we'll go slow, but we never do",우린 천천히 가자고 하지만 절대 그러지 않지
"Oh, it's so crazy you get my heart jumping","오, 넌 내 심장을 뛰게 해서 완전 미쳐"
And this year,그리고 올해
I won't stop until I find my runaway love,내 도망친 사랑을 찾을 때까지 멈추지 않을 거야
"Ahh, ahh, ahh","아아, 아아, 아아"
It's in your lips and in your kiss,"너의 입술 속에, 너의 키스 속에 있어"
"Except for, I like the way","다만, 난 그 방식이 좋아"
Every night stance is like taking chances,매일 밤의 자세는 마치 위험을 무릅쓰는 것 같아 (아)
"Cause I can't say no, no, I can't say no","난 아니라고 말할 수 없어, 아니, 난 아니라고 말할 수 없어"
"And I could go on and on, on and on, and I will","난 끝없이 계속할 수 있어, 계속, 계속, 그리고 난 계속할 거야"
I'm realizing how much you made a change in my life,네가 내 삶을 얼마나 바꿨는지 깨닫고 있어
She knows it's too late as we're walking on by,그녀는 이미 늦었다는 걸 알며 우리가 지나쳐가네
"Step up the two of us, nobody knows us, get in the car like, ""Skrrt","우리 둘이 나서면 아무도 우릴 몰라, 차에 타 ""스커트"
Where's it truly lies,그게 진짜 있는 곳
I see the high fives,하이파이브가 보여
I'm really gonna miss you picking fights,정말 네가 싸움을 만드는 게 그리울 거야
Will You be there,넌 거기 있어 줄 거니
Don't ask me to commit a thing,나에게 어떤 약속도 강요하지 마
And you flashback to when he said forever and always,"네가 ""영원히, 언제나""라던 때로 회상해"
I don't wanna move on,난 이별하고 싶지 않아
Never let you go,널 절대 놓지 않을 거야
"Oh, baby","오, 베이비"
So if you just hold my hand,그러니 네가 그냥 내 손을 잡아준다면
"But you and I, we live and die",하지만 너와 나는 살고 또 죽어
Nobody's gonna get me on another rap,누군가 다른 랩에 걸리진 않을 거야
I hope it takes you back to that place,그것이 널 그 장소로 데려가길 바래
Didn't wanna make you think,네가 그렇게 생각하길 바라진 않았어
In high speed,고속 상태에서
"It's pouring rain, it's pouring rain","비가 쏟아져, 비가 쏟아져"
But don't fight the tears on your cheek,하지만 네 뺨 위의 눈물을 억누르지 마
"It's been a long day without you, my friend","네가 없는 하루는 길었어, 내 친구여"
Like poison coursing through me,독처럼 내 안을 흐르는 기분
"All this noise, I'm waking up","이 모든 소음, 난 깨어나고 있어"
An angel's smile is what you sell,천사 같은 미소가 네가 파는 거야
Maybe I just wanna breathe,아마 난 그냥 숨 쉬고 싶은 걸지도 몰라
Keep me coming back for more,넌 날 계속 돌아오게 해
Cause if you ever need a friend you know I'll be it,만약 네가 친구가 필요하면 내가 될 거란 걸 알잖아
And now we know,이제 우린 알아
Shining inside us,우리 안에서 빛나
3 am and my neighbors hate me,"3시, 그리고 이웃들은 나를 싫어해"
Then am I the monster? Yeah,그럼 내가 괴물인가? 그래
"Gaga in the room, so starstruck","방 안의 가가, 완전 스타덤에 빠졌어"
"Tell me something, boy","말해줘, 소년"
Stop telephoning me,전화 그만해
We were like a symphony,우린 마치 교향곡 같았어
"On the pole, on the floor, you're alone","폴 위에서, 바닥에서, 넌 혼자야"
Couldn't stand to be far apart,멀리 떨어져 있는 건 견딜 수 없었어
"I'm tryna protect myself, but only you know how to, yeah","자신을 지키려 하지만, 오직 너만이 그 방법을 알고 있어, 그래"
All we got was blues,우리에겐 블루스뿐이었어
The scars and the wounds,흉터와 상처들
He's gonna get you and after he's through,"그가 널 가져갈 거야, 그리고 끝나면"
Weed and my pen,잡초와 내 펜
"Cause you're so gorgeous it actually hurts (Honey, it hurts)","네가 너무 아름다워서 정말 아파 (허니, 아파)"
You don't let go,넌 놓지 않아
"You, you love it how I move you","너, 내 움직임이 널 움직이게 하는 게 좋아"
You give me purpose,넌 내게 목적을 줘
When I'm away from you (when I'm away from you),너에게서 멀리 있을 때 (너에게서 멀리 있을 때)
Your laundry dipped in my cologne,네 빨래가 내 향수에 담겨 있네
But it's hard to focus,하지만 집중하기 힘들어
Of the one I keep inside,내 안에 간직한 그 하나를
Ain't nobody's business (ain't nobody's business),아무도 신경 쓸 일이 아니야 (아무도 신경 쓸 일이 아니야)
We built it up so high,우린 그것을 아주 높이 쌓아 올렸어
"Hundred racks, help me spend it, babe","십만 달러, 날 도와 써줘, 베이비"
"Whoa-oh-oh, you're a loaded gun, yeah","워-오-오, 넌 장전된 총이야, 그래"
I carry a madness,난 미친 기운을 안고 다녀
And I go crazy 'cause here isn't where I wanna be,여기가 내가 있고 싶은 곳이 아니라서 미쳐버릴 것 같아
They will not keep my down (Woah),그들은 날 눌러두지 못할 거야 (워)
"I'm here, I'm here to stay","난 여기 있어, 난 여기 머물 거야"
"And wait on me, darling, yeah","그리고 날 기다려줘, 자기야, 그래"
I'm fallin' in love,사랑에 빠지고 있어
"Pussy so aquatic, so I make that boy psychotic","그곳은 물 같은 곳이라, 그럼 난 그 소년을 미치게 해"
A game that I'm destined to lose,내가 질 수밖에 없는 게임
The haze won't put my mind at ease,안개가 내 마음을 편하게 해주진 않아
"So cut the headlights, summer's a knife","헤드라이트를 꺼, 여름은 칼이야"
I guarantee you can't get that girl,장담컨대 넌 저 여자를 못 데려가
"Oh, if he knew that you keep little things to remind you","아, 네가 널 상기시키는 작은 것들을 간직하고 있다는 걸 그가 안다면"
Wished that you knew all that I do to make this thing go right,이 일이 잘되도록 내가 하는 모든 걸 네가 알길 바랐어
My house clean (house clean),내 집은 깨끗해 (깨끗해)
You'll always come back to me,넌 항상 내게 돌아올 거야
"He smiles, it's like the radio",그가 웃으면 마치 라디오 같아
"You know, I'm still standing better than I ever did","알잖아, 난 여전히 예전보다 더 잘 서 있어"
(Wanna be with you),(너와 함께 있고 싶어)
You take up every corner of my mind (of my mind),너는 내 마음의 모든 구석을 차지해 (내 마음)
"No money, no problem",돈 없어도 문제없어
To the North Pole for Saint Nick,"북극으로, 성 니콜라스에게"
I'll never be alone,난 절대 혼자 있지 않을 거야
And get you out of mind,네가 내 마음에서 사라지게 해
"You can move a mountain, you can break rocks (be a champion)","너는 산을 움직이고, 바위를 부술 수 있어 (챔피언이 되어라)"
Who's finding this hard,이걸 힘들어하는 사람은 누구야
"Oh, don't be a fool, yeah","오, 어리석게 굴지 마, 응"
"I can be a gentleman, anything you want","나는 신사처럼 굴 수 있어, 네가 원하는 무엇이든"
"Bout another path, I know we loved to hit the road and laugh","다른 길에 대해, 우린 길 떠나 웃는 걸 좋아했지"
"That's fine, you won't mind if I say","괜찮아, 내가 말해도 신경 안 쓸 거지"
Unstoppable today,오늘은 멈추지 않아
Just let me love you when your heart is tired,네 마음이 지쳤을 때 내가 널 사랑하게 해줘
You wore a dark gray T-shirt,너는 짙은 회색 티셔츠를 입었어
"Oh, I'm living on the wildside, wildside","오, 난 야생의 길 위에 살아, 야생의 길 위에"
"Ain't in no stable, no, you stay on the run","안정적이지 않아, 넌 계속 달리고 있어"
"Everyday's the same, it's back to the train","매일 똑같아, 다시 기차로 돌아가"
So please don't let me down,그러니 제발 날 실망시키지 마
"I live for the applause-plause, live for the applause-plause","나는 박수-박수를 위해 살아, 박수-박수를 위해 살아"
Can't fight the feeling,이 감정을 막을 수 없어
I knew the pathway like the back of my hand,내 손등처럼 그 길을 알았어
You're watching me but I'm below,넌 날 지켜보지만 난 아래 있어
And Superman unrolls a suit before he lifts,슈퍼맨이 슈트를 펴 입기 전에
"When I'm with my baby, ooh yeah yeah","내 애인이랑 있으면, 오 예 예"
Something that I wanna let you know,널 알게 하고 싶은 게 있어
"Shake dat body, lemme see you just do it","그 몸을 흔들어, 그냥 해 보여줘"
"Hurt me with the word ""goodbye""?","안녕""이라는 말로 날 아프게 해?"
"Ain't in no stable, no, you stay on the run","안정된 게 아니야, 넌 계속 달리고 있어"
Look at the situation they got me facin,내가 맞닥뜨린 상황을 봐
"Make it work, now it hurts but i'll go there","노력해도, 지금은 아프지만 난 그곳에 갈 거야"
You said he drove you to my arms,넌 그가 널 내 품으로 몰아넣었다고 말했지
I bless the rains down in Africa (gonna take the time),나는 아프리카에 내리는 비를 축복해 (시간을 가질 거야)
Mainly my aim is to give you this love,내 목적은 주로 너에게 이 사랑을 주는 거야
You've got my heart,넌 내 마음을 가졌어
It's tearing me apart (it's tearing me apart),그게 날 갈가리 찢고 있어 (날 갈가리 찢어)
Under the sea,바다 밑에서
"(Somewhere together, I've got a quarter)","(어딘가 함께, 동전 하나 있어)"
"You keep-keepin' me from how I'm supposed to be, to be",넌 계속-계속 내가 돼야 할 나를 방해해
"Cause your hands and lips still know their way around, ooh","네 손과 입술은 아직도 길을 알고 있어, 오오"
I say it again,다시 말할게
It's buried in my soul,그건 내 영혼 깊숙이 묻혀 있어
"One day, my father, he told me, ""Son, don't let it slip away","언젠가, 아버지는 내게 말했어, ""아들아, 흘려보내지 마라"
"Give you little more because I love you, love you","널 더 주고 싶어, 널 사랑하니까, 사랑하니까"
Things will go better if you just hold my hand (hold my hand),네가 그냥 내 손을 잡아주면 상황은 더 좋아질 거야 (내 손 잡아)
It's all you ever need to know,그게 네가 알아야 할 전부야
Beam me up like Scotty (baby gal),스코티처럼 날 전송해 (자기야)
Front page of the billboards,빌보드 1면
Hold tight for everyday life,일상에 꽉 붙잡혀
There's creatures who are hiding in the dark,어둠 속에 숨어 있는 생물들이 있어
I know you'll take me in,네가 날 받아줄 거라는 걸 알아
"I'm into that, I'm good to go","난 그걸 좋아해, 준비됐어"
I'm making it obvious by knocking at your door,네 문을 두드리며 분명히 하고 있어
On a warm San Franciscan night,따뜻한 샌프란시스코의 밤에
If she reads all the lyrics,그녀가 모든 가사를 읽는다면
I got something in my shoes it's keeping me from walking,내 신발 속에 뭔가 있어 걸음을 막고 있어
Angels all over that watch over you,천사들이 너를 지켜보고 있어
It's coming down on me,내게 쏟아지고 있어
Just a little change,아주 작은 변화
Cause I can see the sun light up the sky,왜냐면 해가 하늘을 밝히는 걸 볼 수 있으니까
"Got you stuck up in my head, yeah","너는 내 머릿속에 박혀 있어, 그래"
You've been locked in here forever,넌 여기에 영원히 갇혀 있었어
"Turn around and tease me, baby","돌아서서 날 놀려줘, 자기야"
"Oh, but when you're gone, when you're gone, when you're gone","오, 하지만 네가 떠나고, 떠나고, 떠나버리면"
"But I love it, but I love it, oh","하지만 난 사랑해, 하지만 난 사랑해, 오"
Isn't it lovely how menaces turned attraction?,위협이 매력으로 변한 게 참 사랑스럽지 않아?
You got it if you want it,네가 원한다면 있어
Why you always wanna act like lovers,왜 항상 연인처럼 행동하고 싶어 해
"Free of women with madness, their men and bad habits","광기에 사로잡힌 여자들, 그들의 남자와 나쁜 습관들과 함께 자유롭게"
I love you crazy,난 널 미치도록 사랑해
