en,ko
"In your eyes, I see something to believe in",네 눈 속에서 믿을 무언가를 봐
I'll stop time for you,널 위해 시간을 멈출게
"So, momma, please, stop callin","그러니 엄마, 제발 전화 좀 그만해"
Just like all those times before,예전 모든 순간들처럼
Whilе he's on mine,그가 내 곁에 있는 동안
It's the darker side of me that makes you feel so numb,내 어두운 면이 널 무감각하게 만들지
That's not the way you feel,네가 느끼는 방식이 아니야
How I got your love pouring down,너의 사랑이 쏟아지는 걸 느껴
"(Boy, I don't give a fuck)","(얘야, 난 신경 안 써)"
"(Mmm, you smell better than a barbecue)","(음, 너 바비큐보다 더 좋은 향이 나)"
The universe is ours,우주는 우리 거야
Your behavior is Sammy Da Bull like,너의 행동은 새미 더 불 같아
"Wasn't the ""it"" girl at school (Not me)",학교에서 ‘인기녀’는 아니었어 (난 아냐)
Mm-mm-mm,음-음-음
"Your time is up, I'll tell you why","네 시간이 끝났어, 내가 이유를 말해줄게"
Loving 'til late in the night,밤늦게까지 사랑하고
"Rum-pa-pum-pum, rum-pa-pum-pum","룸-파-펌-펌, 룸-파-펌-펌"
Cause even God herself has enemies,심지어 신 자체에게도 적이 있으니까
For the rest of your days,남은 생 동안
"You take Wednesday, Thursday","넌 수요일, 목요일을 가져"
Laying on the screen,화면 위에 누워있는 모습
That's why I've got to be there,그래서 난 거기 있어야 해
Cause you've got a higher power,왜냐면 넌 더 높은 힘을 가졌으니까
"Cardi a good catch, but you gotta chase me","카디는 좋은 상대야, 하지만 넌 날 쫓아야 해"
"Own way, own way",자기 길을 열어
And I'm invisible and everyone knows who you are,난 투명하지만 모두가 널 알아
But if you spread your wings,하지만 네가 날개를 펼치면
For all I need,내가 필요한 건
"Dirty Diana, oh oh oh","더티 다이애나, 오 오 오"
"But goddamn, you got me in love again","하지만 젠장, 넌 다시 날 사랑에 빠지게 했어 (라-라-라)"
"Two left feet, can't move you to beat (no!)","두 발이 왼발 같아, 비트에 맞춰 움직일 수 없어 (아니!)"
That's my man,저 사람 내 남자야
"She mumbled something while we got down on the floor, baby","우리가 바닥에 눕는 동안 그녀는 중얼거렸어, 베이비 (어)"
Just want your sex (want your sex),네 섹스만 원해 (네 섹스만 원해)
"Cause we got one life, one life to live","왜냐면 우린 단 하나의 삶, 하나뿐인 삶을 살고 있으니까"
"Now in this perfect weather, it's like we don't remember","이제 이 완벽한 날씨 속에서, 마치 우린 기억하지 못하는 것 같아"
Consuming all the air inside my lungs,내 폐 속 모든 공기를 집어삼켜
Make you afraid to trust someone,넌 누군가를 믿기 두려워하게 됐어
Had to love and lose a hundred million times,사랑하고 잃어야 했어 수억 번을
And you just wanna take me home,그리고 넌 그냥 날 집으로 데려가고 싶어 해
"We gonna make it girl, I promise","우린 해낼 거야, 약속해"
"Cause when I stare in your eyes, it couldn't be better","네 눈을 들여다볼 때, 이보다 더 좋을 수가 없어"
My pride is all I got,내 자존심이 내가 가진 전부야
"Oh, I got it, girl","오, 내가 가졌어, 소녀야"
"When he lays you down, I might just die inside","그가 널 눕히면, 난 안에서 죽어버릴지도 몰라"
"(Ooh girl, let me keep you warm)","(오, 소녀야, 내가 널 따뜻하게 해줄게)"
As these three strikes hang over my head,이 세 번의 스트라이크가 내 머리 위에 매달려 있는 동안
We french kissed on a subway train,우린 지하철에서 프렌치 키스했어
But you won't let me,하지만 넌 날 놓아주지 않아
"Yeah (Good), I'm in my summer feelings","그래 (좋아), 난 여름의 감정을 느끼고 있어"
"(Gyal yuh never miss, gyal yuh never miss) no lie","(넌 절대 놓치지 않아, 넌 절대 놓치지 않아) 거짓 아냐"
We run into the sun,우린 태양 속으로 달려가
Every time I'm feeling low,기분이 가라앉을 때마다
Jesus is my virtue,예수는 나의 미덕
How many of your friends fit in my Rolls? (Can you fit in my Rolls?),네 친구들 몇 명이나 내 롤스에 탈 수 있어? (내 롤스에 탈 수 있겠어?)
"Baby, tell me one more beautiful lie","베이비, 아름다운 거짓말 하나만 더 해줘"
"Only sound, only sound that you heard was ""No","네가 들었던 유일한 소리, 유일한 소리는 ""아니""였어"
Cause you throw your head back laughing,네가 머리를 뒤로 젖히며 웃어넘기니까
"You wouldn't knock, you'd just walk in",넌 노크하지 않고 그냥 들어오곤 했어
I'll cross my heart,난 내 마음을 걸어
Dancing with somebody,누군가와 춤추며
I'll cross my heart,내 심장에 손을 얹을게
But don't take me for a fool,하지만 날 바보로 보지 마
Or maybe it's my eyes,아니면 어쩌면 내 눈 때문일지도
"Dance, dance","춤춰, 춤춰 (예)"
Fly … and girl you know that I'll be there,"날아 … 그리고 소녀, 난 네가 거기 있을 걸 알아"
Ayy love (ayy love),에이 사랑 (에이 사랑)
I tried to find love,사랑을 찾으려 했어
I've been walking through a world gone blind,난 눈먼 세상을 걸어왔어
"Fake love on the internet, why","가짜 사랑, 왜 인터넷에 가득할까"
"And he can't make you feel this pretty (pretty, bae bae)","그리고 그는 너를 이렇게 예쁘게 느끼게 할 수 없어 (예쁘게, 베이 베이)"
Let's be honest with ourselves,우리 스스로에게 솔직해지자
"Use your muscle, carve it out, work it, hustle","네 힘을 써, 조각하고, 일하고, 서두르고"
Barefoot in the kitchen,부엌에서 맨발로
And you get up every day and you work hard for your pay,넌 매일 일어나 열심히 일하잖아
Then I'll dive in it 'til I'm exhausted and I'm type lacking,"그러면 내가 완전히 지칠 때까지 그 안으로 뛰어들 거야, 힘이 다할 때까지"
Like I'm the only one that you'll ever love,네가 평생 사랑할 유일한 사람인 것처럼
Memories feel like weapons,추억들은 무기처럼 느껴져
"There's no way I'm turning back (oh, oh, oh, oh, oh)","다시 돌아갈 수는 없어 (오, 오, 오, 오, 오)"
They're gonna give you a smirk,그들은 네게 비웃음을 지을 거야
Wonderin' if you got a body,네가 다른 사람을 만났는지 궁금해
Now you're working at the movie selling popular corn,이제 넌 영화관에서 인기 있는 팝콘을 팔고 있네
On a promising grown man,유망하던 한 어른에게
"When you're talk, talking, talking","네가 말하고, 또 말하고, 또 말할 때"
Who stole the soul from the sun,누가 태양에서 영혼을 훔쳤나
Just remember I'll be by your side,내가 네 곁에 있을 거란 걸 기억해줘
"So, put your hands up",그러니 손을 들어
"All on me, just spotted a baby actor","모두 내게 집중해, 갓 데뷔한 아역배우를 발견했어"
If I don't let you in,내가 널 들여보내지 않으면
Yellow diamonds in the light,빛 속의 노란 다이아몬드
Maria hey hey Maria,"마리아, 헤이 헤이 마리아"
"Blood tight, a rhythm that's throbbin' my veins","핏줄을 울리는, 리듬이 내 혈관 속에서 뛰어"
"I won't be there when you crawl back, yeah","네가 기어 돌아올 때 난 거기 없을 거야, 예"
"Word on the street, Santa's coming tonight","거리 소문에 따르면, 오늘 밤 산타가 온대"
"Is I want you back, yeah, it's so fuckin' sad, baby","난 널 다시 원해, 그래, 너무 슬퍼, 자기야"
Just promise you'll never change,그저 변치 않겠다고 약속해줘
"And if she stops, then I might get violent","그리고 그녀가 멈추면, 내가 폭력적이 될지도 몰라"
I can see it now,이제 보이기 시작해
FBI raided my house and shit was gettin' dicey,"FBI가 내 집을 급습했고, 상황은 점점 위험해졌어"
The ripest peach or pear,가장 잘 익은 복숭아나 배
"But at the time it was more than I could manage, so","하지만 그때는 내가 감당하기엔 너무 벅찼어, 그래서"
Beam me up like Scotty (baby gal),스코티처럼 나를 데려가줘 (베이비 걸)
So we're not there yet,아직 거기에 닿지 못했으니까
We are not wasting this,우린 이걸 낭비하지 않아
So I punched a hole in the roof,그래서 지붕에 구멍을 냈어
Cause this one's pretty nice,왜냐면 이건 꽤 멋지니까
"(Mmm, you smell better than a barbecue)","(음, 넌 바비큐보다도 더 좋은 향기가 나)"
Best that you've had,네가 가진 최고의 것
Careful …,조심해 …
Carry me go oh nowhere,나를 아무 데나 데려가
And you ain't leaving me behind,넌 날 뒤에 두고 가지 않을 거야
This is what I thought about,이게 내가 생각했던 거야
Switching up the flow as we add the prefix,흐름을 바꿔 접두사를 더해
"Free as these birds, light as whispers","이 새들처럼 자유롭고, 속삭임처럼 가벼워"
Turn off your mind,네 마음을 꺼
I was under your spell,난 네 마법에 빠져 있었어
"Where I am, I can't explain or never know","내가 있는 곳, 설명할 수 없고 알 수도 없어"
I wish it wasn't so damn hard to leave ya,널 떠나는 게 이렇게도 힘들지 않았으면 좋겠어
The dimples in your back at the bottom of your spine,네 척추 끝에 있는 허리의 보조개
"The more I think about it now, the less I know",지금 생각하면 생각할수록 더 모르게 돼
"Baby, this is what you came for","자기야, 네가 여기 온 이유가 이거야"
Wonder this time where she is gone,이번엔 어디로 갔을지 궁금해
With some indie record that's much cooler than mine,내 것보다 훨씬 멋진 인디 레코드와 함께
"Cause baby, love never felt so good (so good)","왜냐면 베이비, 사랑은 이렇게 좋게 느껴본 적 없어 (아주 좋아)"
Build a house or sink a dead body,집을 짓거나 시체를 숨기거나
"And I keep it Ben Franklin, I'm not gon' change","난 벤 프랭클린을 지켜, 변하지 않을 거야"
"Love, love, love, I want your love","사랑, 사랑, 사랑, 난 네 사랑이 필요해"
"Oh, I wanna know when I can go","오, 언제 떠날 수 있는지 알고 싶어"
"We're dancing with the trees, and I've waited my whole life","우린 나무들과 함께 춤추고 있어, 난 평생을 기다렸어"
All I need is,내가 필요한 건 전부
Women would desire,여자들은 그를 갈망했어
"Heat, heat waves, I'm swimmin' in a-","열기, 열기의 파도, 난 잠겨 있어–"
You take up every corner of my mind,넌 내 마음 구석구석을 차지해
(I hate you so much),(너무 싫어)
But I never thought I'd live to see it break,하지만 이게 깨지는 걸 볼 줄은 몰랐어
Cause you know I'll never part,넌 내가 절대 떠나지 않을 걸 알잖아
I know you heard this and probably in fear,넌 이 말을 듣고 아마도 두려워했을 거야
"Drop the top and take a selfie, my car drives itself","탑을 내려서 셀카 찍어, 내 차가 스스로 운전해"
I've been reading books of old,옛날 책들을 읽고 있었어
Learning how to let it go,놓는 법을 배우고 있어
What's the point of feeling love for you,널 사랑하는 게 무슨 의미가 있지
"Until the other kiddies, knock him down",다른 아이들이 와서 그를 쓰러뜨릴 때까지
"Trying, trying but I, I just want your body","노력해, 노력하지만 난, 난 그냥 네 몸을 원해"
Your papa-paparazzi,네 파파-파파라치
It's 4am and you are up getting fucked up,"새벽 4시, 넌 완전히 취했어"
I wish that she could tell me,그녀가 말해줬다면 좋겠어
I remember you was conflicted,나는 네가 갈등을 겪었던 걸 기억해
I've had too much to drink tonight,오늘 밤 난 술을 너무 많이 마셨어
"Baby, I would die for you, yeah","자기야, 난 널 위해 죽을 거야, 그래"
That shit's ugly,그건 추하잖아
Except when I be wheezy from another cup of potion,다른 한 잔의 약 때문에 숨이 가빠올 때를 제외하고
"Like a deadly fear I am, babe","치명적인 공포 같은 내가, 자기야"
"In the middle, woah","가운데서, 워어"
I thought I heard you cry,네가 우는 소리를 들은 것 같았어
Hmm-hmm-hmm-hmm,흠-흠-흠-흠
So we've got a good thing going (good thing going),그래서 우린 좋은 걸 하고 있어 (좋은 일)
For a little while inside my arms,잠시 내 품 안에 머무르며
We've been swimming on the edge of a cliff,우리는 절벽 끝에서 수영하고 있었어
"Panties on the dresser, your hair gettin' messer","속옷은 화장대 위, 네 머린 더 흐트러져"
Together we'll cry happy tears,함께 기쁨의 눈물을 흘리자
"When he calls to me, I am ready","그가 날 부를 때, 나는 준비돼 있어"
"Shadow is burnt yellow, dance and we turn","그림자는 노랗게 타올라, 춤추고 우린 돌아"
Found it in the end that I can only do it for me,결국엔 내가 할 수 있는 건 나를 위해서뿐이라는 걸 알았어
"Callin' security, keepin' my head held down","보안을 부르고, 고개를 숙이고 있어"
Thinkin' 'bout how you really messed with my heartbeat (messed with my heartbeat),네가 내 심장을 얼마나 흔들었는지 생각하게 돼 (내 심장을 흔들었지)
"Although it's been said, many times, many ways","비록 여러 번, 여러 방식으로 말해졌지만"
"Ben, you're always running here and there","벤, 넌 항상 이리저리 뛰어다녀"
"(Hair, body, face, for you, triple threat)","(헤어, 바디, 페이스, 널 위해, 트리플 스렛)"
And make you a star and get you connected?,널 스타로 만들어 연결시켜줄까?
And now you gon' be with me for the last ride,이제 넌 마지막 여정에 나와 함께할 거야
"Don't waste precious tears on me, i'm not worth the misery","나에게는 귀한 눈물을 낭비하지 마, 난 그 고통을 받을 가치가 없어"
Stand up beside the fireplace,난로 옆에 서서
Wanna drive in the night till the end of the earth and go over the edge,"세상의 끝까지 밤을 달리고 싶어, 끝을 넘어가고 싶어"
I got one coming over and one right now,"한 명 오고 있고, 한 명은 지금 와 (어)"
"So come on, come on, come on","그러니 어서 와, 어서 와, 어서 와"
And don't worry,걱정하지 마
What?,뭐?
Why is it so hard to accept the party is over?,파티가 끝났다는 걸 받아들이기 왜 이렇게 어려워?
And meet in-between,그리고 그 중간에서 만나
Won't you come back to me?,내게 돌아오지 않겠니?
Straight up tell me yes,솔직하게 말해줘 예스라고
"Up until the chorus to the verse, re-ke-re-ke reverse","후렴부터 절까지, 되-되-되돌려"
"Hey girl, let me talk to you","헤이 걸, 네게 말하게 해줘"
I want something just like this,난 그냥 그런 게 필요해
They count me out time and time again,그들은 나를 반복해서 제외시켰어
"My love, those tears in your eyes","내 사랑, 네 눈에 그 눈물들"
"I hope you find somebody, baby","네가 누군가를 찾길 바라, 자기야"
Keep on with the force don't stop (don't stop darlin'),"그 힘으로 계속해, 멈추지 마 (멈추지 마, 자기야)"
"I need you, girl I love you","난 네가 필요해, 난 널 사랑해"
Bring the sin,죄를 가져와
I see your soul through your window pain,네 창문 너머로 네 영혼이 보여
Let me get inside your mind,네 마음속으로 들어가게 해줘
Wooh-ooh-ooh-ooh-ooh,우-우-우-우-우
"Do a buck 20, I'ma fly off the edge",속도 120으로 달리면 난 벼랑에서 날아갈 거야
"And she won't look at you, won't look at you","그리고 그녀는 널 보지 않아, 널 보지 않아"
We're all lost in the night,우린 모두 밤 속에 길을 잃었어
I would gladly do it twice,기꺼이 두 번이라도 할 거야
No stopping 'cause it feels right,"멈출 수 없어, 왜냐면 이게 맞으니까 (오-오)"
You are the best thing that's ever been mine,넌 내게 가장 소중한 존재야
So I'm wonderin,그래서 난 궁금해
She waits at backstage doors for those who have prestige,그녀는 명성이 있는 이들을 위해 무대 뒤에서 기다려
Quavo!,퀘이보!
I can't take anymore,더는 견딜 수 없어
Hug me again 'til the end,끝까지 다시 안아줘
You don't listen 'cause you know everything,넌 모든 걸 안다며 듣지 않아
"Maybe tomorrow, they'll all have somethin' to say","아마 내일이면, 그들 모두가 할 말이 있겠지"
"Blood is on the dance floor, blood is on the knife (it's goin' down, baby)","무대 위엔 피가, 칼엔 피가 (일이 벌어지고 있어, 베이비)"
"On my way, on my way, on my way","가는 길에 있을 거야, 가는 길에, 가는 길에"
Since I met her from the start,처음 만났을 때부터
"Baby, love never felt so fine","베이비, 사랑은 이렇게 기분 좋지 않았어"
Shine on (shine on),빛나길 (빛나길)
"You were all I wanted (oh, oh, oh-oh-oh)","넌 내가 원하던 전부였어 (오, 오, 오-오-오)"
Just for today,오늘 하루만이라도
"Percocets ('cets), molly, Percocets (Percocets)","펄코셋 ('셋), 몰리, 펄코셋 (펄코셋)"
Two: don't let him in,둘: 그를 집에 들이지 마
"So if it's not me, then I'm probably gonna run it over","그러니 내가 아니면, 아마 그냥 달려가 버릴 거야"
You already know I'm faded,넌 이미 내가 취한 걸 알잖아
And what do you do when the one who means the most to you,네게 가장 소중한 사람이
I remember tears streaming down your face,네 얼굴에 흐르던 눈물을 기억해
They're makin' me takin' the blame,그들은 내게 죄를 뒤집어씌워
I'm gonna love you with my hands tied,나는 손이 묶인 채로 널 사랑할 거야
Holding you in my arms,널 내 품에 안고 있어
"So don't you worry, baby, you got me","그러니 걱정 마, 베이비, 넌 내 것이야"
Just won't be led,그냥 이끌리지 않아
Apocalypse,묵시록
Did she get that job she wanted?,그녀가 원하던 일을 얻었을까?
Spend the night and we will make it worth the while,하룻밤 함께하고 우리가 그 시간을 가치 있게 만들자
It's so magical,너무나 마법 같아
"Out in the club, and I'm sipping that bubb",클럽에서 술을 마시고 있으니까
Hey-hey,헤이-헤이
"Know it's been a while, baby, a while","오랜만이야, 자기야, 오랜만이야"
"My heart, it keeps getting weaker",내 심장은 점점 더 약해져
Doing really nasty things (you were in my dreams),정말 더러운 짓들을 하고 있었어 (넌 내 꿈 속에 있었지)
I know that you want me to,네가 그러길 원한다는 것도 알아
I got this feeling in my soul,내 영혼 속에 이 느낌이 있어
"For ya (Oh, she loves it when I call)","널 위해 (오, 내가 부르면 그녀는 좋아해)"
Getting swept away,휩쓸려 가
I don't ever wanna know,난 절대 알고 싶지 않아
We can play all night,우린 밤새 놀 수 있어
"We'll take it to the sky, pass the moon, to the galaxy","우린 하늘로 데려갈 거야, 달을 지나 은하수까지"
O si no en Marbella,아니면 마르베야로 가도 되고
"If you ask me, baby, I shoulda left you a long time ago, no (a long time ago)","네가 묻는다면, 자기야, 난 널 떠났어야 했어 오래전에, 아니야 (오래전에)"
We're c-coming out,우린 나오고 있어
You are the hand that feeds me,넌 날 먹여주는 손이었어
Always try to ride those paper planes,항상 종이비행기를 타려 애쓰고
"Had to switch up, look at things different, see the bigger picture","방식을 바꿔야 했어, 다르게 보고, 더 큰 그림을 봐야 했어"
"Ciao adios, I'm done (I'm done)","차오 아디오스, 난 끝났어 (끝났어)"
Who will be strong and stand with me?,누가 강하게 나와 함께 서겠나?
"Cold hands, red eyes","차가운 손, 충혈된 눈"
All you got is eyes for me,네게 있는 건 오직 내게로 향한 눈뿐이야
I'm talkin' trips to Puerto Rico (bih),푸에르토리코 여행 얘기 중이야 (빚)
"Just let me love, just let me love","그냥 내가 사랑하게 해줘, 그냥 내가 사랑하게 해줘"
"And your skin, oh yeah, your skin and bones","그리고 네 피부, 오 그래, 네 피부와 뼈까지"
Robert's got a quick hand,로버트는 빠른 손을 가졌어
"And tonight I'm alive, ain't a dollar sign","그리고 오늘 밤 난 살아 있어, 돈은 문제가 아니야"
Tell me all of the things that make you feel at ease,널 편안하게 하는 모든 걸 말해줘
"We can dim the lights, just to make it right",우린 불빛을 낮춰서 모든 걸 옳게 만들 수 있어
"You knew you won, so what's the point of keeping score?","네가 이겼다는 걸 알았지, 그런데 점수는 뭐하러 세?"
Good head like a beautician,미용사처럼 좋은 머리
All I make is music for crying ('cause you're the only one I want),내가 만드는 건 다 울음을 위한 음악뿐이야 (넌 내가 원하는 유일한 사람이니까)
(Aaow),(아오)
We like boys in cars,우린 차 속의 소년들을 좋아해
I like boys and that is that,"난 남자들을 좋아해, 그게 전부야"
Go find a girl who wants to listen,말들을 들어줄 여자를 찾아봐
But all that's dead and gone and passed,하지만 그 모든 건 죽어 사라졌고 지나갔어
When I'm bad to you? (So bad),내가 너한테 못되게 굴 때? (정말 못되게)
You should stay with him,넌 그와 함께 있어야 해
"Someday, I'll be big enough so you can't hit me",언젠가 난 충분히 커서 네가 날 때릴 수 없게 될 거야
"And therein lies the issue, friends don't try to trick you","그리고 그게 문제지, 친구는 널 속이지 않아"
And the bright lights,그리고 화려한 불빛들
So we're not there yet,그러니 아직 거기에 다다르지 못했어
No one can hurt you now,이제 아무도 널 해칠 수 없어
"Your hands are like a flame, your palms' the sweetest pain","네 손은 불꽃 같고, 네 손바닥은 가장 달콤한 고통이야"
With the best of 'em,그 중 최고들과 함께
"They Know What I Mean yeah, yeah","그들이 내 말 뜻을 알아, 응, 응"
A timeless octave to play for the tree,"나무를 위해 연주되는, 시간을 초월한 옥타브가 될 거야"
You didn't love when you had me,넌 날 가졌을 때 사랑하지 않았어
"The more that you say, the less I know",네가 말하면 말할수록 난 더 모르겠어
Learn them the hard way,어려운 방식으로 배워
"Peter's on vacation, an open invitation","베드로는 휴가 중, 열려 있는 초대장"
Little did I know,난 전혀 알지 못했어
"Yeah, 'cause you're my rock star","그래, 넌 내 록스타니까"
And I just can't take it (the girl won't break it),난 그걸 견딜 수가 없어 (그 여자는 부수지 못해)
"Doo-doo-doo, doo-doo-doo","두-두-두, 두-두-두"
And she's in my dreams,그녀는 내 꿈속에 있어
That,그렇다면
Heaven's a heartbreak away,천국은 한 걸음 떨어진 아픔 속에 있어
Don't give your heart to a girl who's still got a broken one,아직 상처 난 가슴을 가진 여자에게 마음을 주지 마
When it's my personal life and I don't live for you (You),이건 내 개인적인 삶이고 난 네 위해 사는 게 아니야 (너)
"To the childhood I lost, replaced by fear",두려움으로 대체된 잃어버린 어린 시절로
Cause talk is cheap,말은 싸구려니까
"Everything, I wanna know it all","모든 것, 난 다 알고 싶어"
Hold me like the River Jordan,요단강처럼 나를 감싸 줘
And my love makes you brand new,내 사랑은 너를 새롭게 만들어
"Can't sleep, can't eat","잠도 못 자고, 밥도 못 먹고"
"Baby, I'm dancing in the dark","베이비, 난 어둠 속에서 춤추고 있어"
"I won't bite , unless you like (unless you like)","물지 않을게 (아-아), 네가 원하지 않는 한 (원하지 않는 한)"
I can remember when we walked together,함께 걷던 때를 기억해
You should've known,넌 알았어야 했어
"Maybe you'll love yourself like I love you, oh","아마도 넌 내가 널 사랑하듯 자신을 사랑하게 될 거야, 오"
Just to put a smile on it,네 얼굴에 미소를 띠게 하려고
I'd rather be so oblivious,차라리 아무것도 모른 채이고 싶어
"Diamonds are forever, but all we need is just tonight","다이아몬드는 영원하지만, 우린 오늘 밤만 있으면 돼"
"So I'll be telling mine (mine, oh)","그래서 난 내 얘길 할 거야 (내 얘기, 오)"
(You've got a place to go),(갈 곳이 있어)
Ever as before,언제나 전처럼
"I never thought we'd fall out of place, eh-eh, hey","우리가 틀어질 거라곤 생각도 못 했어, 에-에, 헤이"
It just don't feel right,그냥 옳지 않은 기분이 들어
But she's always with another,하지만 그녀는 항상 다른 사람과 함께 있어
"Feel your eyes, they're all over me","네 눈빛이 느껴져, 온몸이 감싸여"
Told you not to worry,걱정하지 말라고 말했었지
Everytime I try to walk through walls,벽을 통과하려 할 때마다
"Yeah, I just wanna go back","그래, 난 그냥 돌아가고 싶어"
"So look at me now, I'm just making my play","그러니 이제 날 봐, 난 내 판을 벌이고 있어"
Until you had to find out it's one me,"네가 알게 되기 전까지, 내가 하나임을"
And do it all with you,너와 함께 전부 하고 싶어
No calling your mother to save you,너의 어머니를 불러서 널 구하지 않아
You're in the mood for a dance,넌 춤을 출 기분이야
"If you want me, better bet higher","날 원한다면, 더 높이 걸어야 해"
Thought I found a way,빠져나갈 길을 찾았다고 생각했어
Why do I self-medicate?,왜 난 스스로를 약으로 달래는 걸까?
All night,온밤
I am perfected through the rhymes of Run,난 Run의 라임 속에서 완성돼
I'm about to fly,이제 날아오르려 해
One right now,지금 당장 하나
"To know that woman, ah","그 여자를 알아가기 위해, 아"
"Leave you three, four steps behind",너를 세세 걸음 뒤에 남겨두겠어
Go on girl! (The way you make me feel),"계속해, 걸! (네가 날 느끼게 하는 방식)"
I'm tryna get ghost,난 사라지고 싶어
"There's no question, she's not in a disguise","의심의 여지 없어, 그녀는 변장하지 않았어"
Where you been or what's the use,"어디에 있었는지, 무슨 소용인지"
"Cause I need you to calm me down, babe","네가 날 진정시켜주길 바래, 자기야"
"This Christmas, this Christmas","이번 크리스마스, 이번 크리스마스"
Midnight is so near,자정이 너무 가까워
Why does it seem like you don't remember?,왜 넌 기억하지 못하는 것처럼 보이는 거지?
"No es tan fácil, baby","그리 쉽진 않아, 베이비"
I don't wanna live another life,난 또 다른 삶을 살고 싶지 않아
I'll spend a lifetime in jail,종신형을 살 수도 있어
Tomorrow we'll be castaway,내일 우리는 버려질 거야
"Try it if it feels right, yeah","옳게 느껴지면 시도해 봐, 그래"
Looking at the sky,하늘을 바라보며
Typa girl who got bag in same quality as Chanel,샤넬만큼의 가치를 가진 가방을 든 타입의 소녀
I know,난 알아
For my promiscuity outside of wed,결혼 밖에서의 방탕함 때문에
There's a rocking in the chair,의자가 흔들리고 있어
Play the victim and switch your position,피해자인 척하며 너의 입장을 바꾸지 마
Who could say that they saw us coming?,우리가 올 거라고 누가 말할 수 있었겠어?
This city screams your name,이 도시는 네 이름을 외쳐
"You wanna touch, wanna touch? Of course, you wanna","만지고 싶어, 만지고 싶어? 물론 그렇지"
Then just send him my way,그럼 그냥 그를 내게 보내
She works for the money,그녀는 돈을 위해 일해
Come on (come on),어서 와 (어서 와)
I know we're gonna make it,우린 해낼 거라고 알아
"(Come on) Girl, let me put this lovin' on you","(어서 와) 자기야, 내가 너에게 이 사랑을 줄게"
Maybe this is a mistake,아마 이건 실수일지도 몰라
Seems that the world's got a role for me,세상은 내게 역할을 준 것 같아
We've got time to waste,우린 시간을 허비해
"Oh, but baby please, please, please","오, 하지만 베이비 제발, 제발, 제발"
Just let me love you when your heart is tired,네 마음이 지칠 때 내가 널 사랑하게 해줘
"Dirty Diana, oh","더티 다이애나, 오"
"Like I'm James Dean, I'ma die when I'm young","마치 제임스 딘처럼, 젊을 때 죽을 거야"
With hairspray and denim,헤어스프레이와 청바지를 입고
"The first date, ""Man, I didn't kiss her and I should have","첫 데이트 때, ""젠장, 내가 키스 안 했는데 했어야 했어"
But we have to say goodbye,하지만 우리는 작별을 말해야 해
"My heart is racing, can't stop this feeling","내 심장은 뛰고 있어, 이 느낌을 멈출 수 없어"
"And call it true, call it true love","그리고 그걸 진짜라고 불러, 진짜 사랑이라고 불러"
"But I'm not finished, 'cause you're not by my side","하지만 난 끝나지 않았어, 네가 내 곁에 없으니까"
"¿Seguro?, ¿todo el mundo listo?","확실해?, 모두 준비됐어?"
I'ma have a couple million when I'm 21,스물한 살이 되면 난 수백만을 가질 거야
"Where I'm coming from, yeah","내가 오는 곳에서, 그래"
The war outside our door keeps raging on,우리 문 밖의 전쟁은 계속 격렬해
I hope I'm not the only one that feels it all,나만 이걸 모두 느끼는 사람은 아니길 바래
"You can dance, you can jive","넌 춤출 수 있고, 재즈처럼 흔들 수 있어"
He drives to school every morning (morning),그는 매일 아침 학교로 운전해 (아침마다)
"Take my hand, don't let go, baby, hold me (ooh, hold me)","내 손을 잡아, 놓지 마, 베이비, 날 안아줘 (오오, 안아줘)"
That you can't stop the beat!,넌 이 비트를 멈출 수 없어!
"Gotta fly, gotta see","날아야 해, 봐야 해"
But now the day bleeds into nightfall,하지만 이제 낮이 밤으로 스며들어
Your papa-paparazzi,네 파파-파파라치가 될게
But now I'm bleedin,하지만 이제 난 피 흘리고 있어
Promise I'ma give it to you like you never had it,네가 한 번도 경험하지 못한 방식으로 줄 거라 약속해
I never could rely on you,난 네게 의지할 수 없었어
And now I'm pacing back and forth,이제 난 이리저리 왔다 갔다 걸어 다녀
You're better off just looking in the mirror,거울만 보는 편이 낫겠어
We see things they'll never see,우린 그들이 결코 보지 못할 걸 볼 거야
Right down to my bones,뼛속까지 내려와
So above the law (So above the law),법 위에 서 있어 (법 위에 서 있어)
You couldn't dream how hard I got it,내가 얼마나 버거웠는지 상상도 못할 거야.
Then why am I on your mind?,그럼 왜 네 생각이 날까?
In our love letter,우리 사랑의 편지에
"Mmm, yeah, yuh","음, 그래, 어"
"That boy is a monster (he ate my heart, mo-mo-mo-monster)","저 남자는 괴물이야 (그가 내 심장을 먹었어, 모-모-모-괴물)"
I love you more than he,난 널보다 더 사랑해
That you told me that he fucked you on (oh!),네가 그 남자랑 잤다 말했던 곳이야 (오!)
You're just a dog gone!,넌 그냥 사라졌어!
"Messing up your carpet, I'll get on it after four more (aah, aah)","네 카펫 망가뜨려도 돼, 네가 떠난 뒤 네 번 더 치우면 돼 (아, 아)"
You are,너야
Cause you always seemed so kind,왜냐면 넌 항상 너무 친절해 보였으니까
"Hmm, everytime I think we got the time","흠, 우리가 시간이 있다고 생각할 때마다"
Too good to be real,너무 좋아서 현실 같지 않아
"There's blood on the trax, and they must be mine","선로에 피가 있어, 그건 분명 내 것이야"
How can you see into my eyes like open doors?,어떻게 네가 내 눈 속을 열려 있는 문처럼 볼 수 있지?
